traceID,order,structtype,method1,method2,m1_para,m2_para,class1,class2
11,11,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setCity,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,12,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setState,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,13,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setZip,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,14,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setCountry,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,15,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setPhone,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,16,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setLanguagePreference,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,17,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setFavouriteCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,18,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setListOption,java.lang.String,boolean,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,19,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setBannerOption,java.lang.String,boolean,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
11,20,null,org.mybatis.jpetstore.mapper.AccountMapper.getAccount,org.mybatis.jpetstore.domain.Account.setBannerName,java.lang.String,java.lang.String,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.domain.Account
12,0,null,org.mybatis.jpetstore.web.actions.AccountActionBean.reset,org.mybatis.jpetstore.domain.Account.setBannerOption,,boolean,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
12,1,null,org.mybatis.jpetstore.web.actions.AccountActionBean.reset,org.mybatis.jpetstore.domain.Account.setListOption,,boolean,org.mybatis.jpetstore.web.actions.AccountActionBean,org.mybatis.jpetstore.domain.Account
13,0,null,org.mybatis.jpetstore.web.actions.OrderActionBean.newOrder,org.mybatis.jpetstore.web.actions.OrderActionBean.isConfirmed,,,org.mybatis.jpetstore.web.actions.OrderActionBean,org.mybatis.jpetstore.web.actions.OrderActionBean
