method1,method2,method2return,method2para,class1,class2
org.mybatis.jpetstore.service.OrderService.insertOrder,org.mybatis.jpetstore.domain.Order.getLineItems,List,,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.domain.Order
org.mybatis.jpetstore.service.OrderService.getOrdersByUsername,org.mybatis.jpetstore.mapper.OrderMapper.getOrdersByUsername,List,String,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.OrderMapper
org.mybatis.jpetstore.service.OrderService.insertOrder,org.mybatis.jpetstore.mapper.OrderMapper.insertOrder,void,Order,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.OrderMapper
org.mybatis.jpetstore.service.OrderService.insertOrder,org.mybatis.jpetstore.mapper.OrderMapper.insertOrderStatus,void,Order,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.OrderMapper
org.mybatis.jpetstore.service.OrderService.insertOrder,org.mybatis.jpetstore.mapper.LineItemMapper.insertLineItem,void,LineItem,org.mybatis.jpetstore.service.OrderService,org.mybatis.jpetstore.mapper.LineItemMapper
org.mybatis.jpetstore.service.CatalogService.getCategory,org.mybatis.jpetstore.mapper.CategoryMapper.getCategory,Category,String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.CategoryMapper
org.mybatis.jpetstore.service.CatalogService.getCategoryList,org.mybatis.jpetstore.mapper.CategoryMapper.getCategoryList,List,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.mapper.CategoryMapper
org.mybatis.jpetstore.service.AccountService.getAccount,org.mybatis.jpetstore.mapper.AccountMapper.getAccountByUsername,Account,String,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.mapper.AccountMapper
org.mybatis.jpetstore.service.AccountService.getAccount,org.mybatis.jpetstore.mapper.AccountMapper.getAccountByUsernameAndPassword,Account,"String,String",org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.mapper.AccountMapper
org.mybatis.jpetstore.service.AccountService.insertAccount,org.mybatis.jpetstore.mapper.AccountMapper.insertAccount,void,Account,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.mapper.AccountMapper
org.mybatis.jpetstore.service.AccountService.insertAccount,org.mybatis.jpetstore.mapper.AccountMapper.insertProfile,void,Account,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.mapper.AccountMapper
org.mybatis.jpetstore.service.AccountService.insertAccount,org.mybatis.jpetstore.mapper.AccountMapper.insertSignon,void,Account,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.mapper.AccountMapper
org.mybatis.jpetstore.service.AccountService.updateAccount,org.mybatis.jpetstore.mapper.AccountMapper.updateAccount,void,Account,org.mybatis.jpetstore.service.AccountService,org.mybatis.jpetstore.mapper.AccountMapper
